,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
122,ACH,2020-07-11,611428,20-DIV0000,IBERMAT,0.0,619.78,,
287,VEN,2020-06-30,706020,20-DIV0000,VENDOME,0.0,7788.9,,
288,VEN,2020-06-30,611428,20-DIV0000,VENDOME,0.0,5005.0,,
312,ACH,2020-06-25,601000,20-DIV0000,SALONI,515.92,0.0,,
533,ACH,2020-05-26,615000,20-DIV0000,BMW BY MY CAR,1557.22,0.0,,
1043,VEN,2020-02-28,611400,20-DIV0000,VENDOME,20000.0,0.0,,
1049,VEN,2020-02-28,706020,20-DIV0000,VENDOME,0.0,118665.7,,
1050,VEN,2020-02-28,611400,20-DIV0000,BRG BAT,25383.96,0.0,,
