,Date,Journal,Section analytique,Général,Débit,Crédit,POSTE,SOUS POSTE
0,2021-01-05,ACH,19-PRO-NLG,601000,910.8,0.0,,
1,2021-01-07,ACH,19-PRO-NLG,613104,1100.0,0.0,,
2,2021-01-08,ACH,19-PRO-NLG,601020,338.9,0.0,,
3,2021-01-08,ACH,19-PRO-NLG,601021,3278.1,0.0,,
4,2021-01-12,ACH,19-PRO-NLG,601000,1417.5,0.0,,
5,2021-01-15,ACH,19-PRO-NLG,601000,556.71,0.0,,
6,2021-01-17,ACH,19-PRO-NLG,621500,1584.0,0.0,,
7,2021-01-29,ACH,19-PRO-NLG,611420,3300.0,0.0,,
8,2021-01-30,ACH,19-PRO-NLG,613101,5044.41,0.0,,
9,2021-01-31,ACH,19-PRO-NLG,613109,1729.13,0.0,,
10,2021-01-31,ACH,19-PRO-NLG,613109,111.6,0.0,,
11,2021-01-31,ACH,19-PRO-NLG,604923,56492.0,0.0,,
12,2021-01-31,ACH,19-PRO-NLG,604923,50140.0,0.0,,
13,2021-01-31,ACH,19-PRO-NLG,613109,1254.0,0.0,,
14,2021-01-31,ACH,19-PRO-NLG,613104,4429.0,0.0,,
15,2021-01-31,ACH,19-PRO-NLG,601030,28889.75,0.0,,
16,2021-01-31,ACH,19-PRO-NLG,613105,960.0,0.0,,
17,2021-01-31,ACH,19-PRO-NLG,613511,665.0,0.0,,
18,2021-01-31,ACH,19-PRO-NLG,613511,35.0,0.0,,
19,2021-01-31,ACH,19-PRO-NLG,613511,50.0,0.0,,
20,2021-01-31,ACH,19-PRO-NLG,613101,566.5,0.0,,
21,2021-01-31,ACH,19-PRO-NLG,613113,1614.03,0.0,,
22,2021-01-31,ACH,19-PRO-NLG,604923,36456.0,0.0,,
