,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
0,0,,ACH,2020-06-01,2.0,C,19-GP-ROSN
1,0,,ACH,2020-03-01,3201.546343240457,C,19-GP-ROSN
2,0,,ACH,2020-04-01,3090.2639739777464,CDTX,19-GP-ROSN
3,0,,ACH,2020-04-01,3982.669994746711,CC,19-GP-ROSN
4,0,,ACH,2020-04-01,2384.791615356494,C,19-GP-ROSN
5,0,,ACH,2020-03-01,3547.7498109859775,C,19-GP-ROSN
6,0,,ACH,2020-03-01,5924.843340649702,CC,19-GP-ROSN
7,0,,ACH,2020-03-01,4597.250073750127,CDTX,19-GP-ROSN
8,0,,ACH,2020-04-01,2152.0742110654046,C,19-GP-ROSN
9,0,,ACH,2020-04-01,2369.504427259539,C,19-GP-ROSN
10,0,,ACH,2020-05-01,0.0,CDTX,19-GP-ROSN
11,0,,ACH,2020-05-01,9188.885333419263,CC,19-GP-ROSN
12,0,,ACH,2020-03-01,3525.007732251618,C,19-GP-ROSN
13,0,,ACH,2020-05-01,4965.302970261884,C,19-GP-ROSN
14,0,,ACH,2020-05-01,5466.961738692063,C,19-GP-ROSN
15,0,,ACH,2020-05-01,5502.232604387342,C,19-GP-ROSN
16,0,,ACH,2020-06-01,4776.316626242159,C,19-GP-ROSN
17,0,,ACH,2020-06-01,5292.809970949438,C,19-GP-ROSN
18,0,,ACH,2020-06-01,8839.143564350983,CC,19-GP-ROSN
