,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
19,0,,ACH,2019-06-01,0.0,CC,19-LE-VILL
20,0,,ACH,2019-10-01,3374.27,CC,19-LE-VILL
21,0,,ACH,2019-02-01,0.0,CC,19-LE-VILL
22,0,,ACH,2019-12-01,5153.26,CC,19-LE-VILL
23,0,,ACH,2019-08-01,0.0,CC,19-LE-VILL
24,0,,ACH,2019-07-01,0.0,CC,19-LE-VILL
25,0,,ACH,2019-01-01,0.0,CC,19-LE-VILL
26,0,,ACH,2019-05-01,4672.74,C,19-LE-VILL
27,0,,ACH,2019-05-01,0.0,CC,19-LE-VILL
28,0,,ACH,2019-04-01,0.0,CC,19-LE-VILL
29,0,,ACH,2019-09-01,0.0,CC,19-LE-VILL
30,0,,ACH,2019-11-01,5116.91,CC,19-LE-VILL
31,0,,ACH,2019-03-01,0.0,CC,19-LE-VILL
