,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
443,ACH,2020-05-31,606400,19-STRUCT0,KODEN,399.96,0.0,,
749,ACH,2020-04-01,613512,19-STRUCT0,HILTI,2367.81,0.0,,
914,ACH,2020-03-06,626100,19-STRUCT0,ORANGE,164.09,0.0,,
915,ACH,2020-03-06,615000,19-STRUCT0,PEUGEOT METIN,354.66,0.0,,
944,ACH,2020-02-29,613102,19-STRUCT0,LOXAM,1072.5,0.0,,
1014,ACH,2020-02-29,601040,19-STRUCT0,QUINCAILLERIE DUBOS,251.56,0.0,,
1033,ACH,2020-02-28,613102,19-STRUCT0,KILOTOU,660.0,0.0,,
1063,BQ1,2020-02-24,625600,19-STRUCT0,SHASHA TAHI GRIL,227.6,0.0,,
1065,ACH,2020-02-22,615000,19-STRUCT0,NORAUTO,65.83,0.0,,
1072,ACH,2020-02-21,615000,19-STRUCT0,RENAULT,746.67,0.0,,
1079,ACH,2020-02-20,606102,19-STRUCT0,EDF,34.82,0.0,,
1083,ACH,2020-02-17,613102,19-STRUCT0,VIAXEL,251.31,0.0,,
1090,ACH,2020-02-15,606100,19-STRUCT0,TOTAL,1527.29,0.0,,
1118,ACH,2020-02-07,612200,19-STRUCT0,ALLIANZ,1684.46,0.0,,
1120,ACH,2020-02-06,626100,19-STRUCT0,ORANGE,169.17,0.0,,
1121,ACH,2020-02-06,601000,19-STRUCT0,AMS,494.6,0.0,,
1135,ACH,2020-02-01,613101,19-STRUCT0,HILTI,95.0,0.0,,
1136,ACH,2020-02-01,613512,19-STRUCT0,HILTI,2224.03,0.0,,
1137,ACH,2020-02-01,626100,19-STRUCT0,SFR,339.81,0.0,,
1138,ACH,2020-02-01,614000,19-STRUCT0,SCI DES ARTISANS / JUM IMMO,1675.66,0.0,,
1182,ACH,2020-01-31,611443,19-STRUCT0,INCUBES,95.0,0.0,,
1190,ACH,2020-01-31,613102,19-STRUCT0,LOXAM,1075.73,0.0,,
1219,ACH,2020-01-31,622600,19-STRUCT0,ASF GROUPE AO2C,334.0,0.0,,
1226,ACH,2020-01-31,606100,19-STRUCT0,TOTAL,1071.34,0.0,,
1251,OD,2020-01-31,625600,19-STRUCT0,INTERMARCHE,54.08,0.0,,
1252,OD,2020-01-31,626000,19-STRUCT0,LA POSTE,37.2,0.0,,
