,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
342,ACH,2020-06-16,606102,19-GP-ROSN,EDF,438.65,0.0,,
346,ACH,2020-06-16,601060,19-GP-ROSN,B2M,2758.0,0.0,,
348,ACH,2020-06-15,613105,19-GP-ROSN,COLTRIVAL,580.0,0.0,,
352,ACH,2020-06-15,601020,19-GP-ROSN,NORMAFER,1893.15,0.0,,
354,ACH,2020-06-15,613101,19-GP-ROSN,LOXAM,107.54,0.0,,
360,ACH,2020-06-15,601040,19-GP-ROSN,PROLIANS,215.77,0.0,,
364,ACH,2020-06-15,601000,19-GP-ROSN,SGP,528.07,0.0,,
367,ACH,2020-06-14,621500,19-GP-ROSN,OMEGA INTERIM,3202.5,0.0,,
374,ACH,2020-06-11,611438,19-GP-ROSN,CONCEPT SERVICES,950.0,0.0,,
380,ACH,2020-06-09,611438,19-GP-ROSN,SUEZ,562.9,0.0,,
390,ACH,2020-06-05,601000,19-GP-ROSN,PUM PLASTIQUE,292.02,0.0,,
393,ACH,2020-06-04,604922,19-GP-ROSN,BATI DAL - SOUS TRAITANT,4842.25,0.0,,
395,ACH,2020-06-03,601000,19-GP-ROSN,BOULANGER,66.66,0.0,,
404,ACH,2020-05-31,601030,19-GP-ROSN,SATM BETONS,36393.2,0.0,,
405,ACH,2020-05-31,601030,19-GP-ROSN,SATM BETONS,3266.55,0.0,,
409,ACH,2020-05-31,613511,19-GP-ROSN,STI,680.0,0.0,,
429,ACH,2020-05-31,613101,19-GP-ROSN,LOXAM,308.8,0.0,,
440,ACH,2020-05-31,611436,19-GP-ROSN,ADN PROTECTION,490.0,0.0,,
441,ACH,2020-05-31,611436,19-GP-ROSN,ADN PROTECTION,525.0,0.0,,
442,ACH,2020-05-31,611436,19-GP-ROSN,ADN PROTECTION,180.0,0.0,,
447,ACH,2020-05-31,613104,19-GP-ROSN,LOGA GRUE,4017.0,0.0,,
450,ACH,2020-05-31,613104,19-GP-ROSN,LOGA GRUE,1390.5,0.0,,
451,ACH,2020-05-31,601000,19-GP-ROSN,BARILLET-FALGUIER,3551.0,0.0,,
452,ACH,2020-05-31,601000,19-GP-ROSN,BARILLET-FALGUIER,1195.63,0.0,,
456,ACH,2020-05-31,608301,19-GP-ROSN,LPP,650.0,0.0,,
457,ACH,2020-05-31,613109,19-GP-ROSN,LPP,3441.66,0.0,,
458,ACH,2020-05-31,613111,19-GP-ROSN,ALTRAD,741.53,0.0,,
459,ACH,2020-05-31,608301,19-GP-ROSN,ALTRAD,700.0,0.0,,
460,ACH,2020-05-31,613114,19-GP-ROSN,ALTRAD,39.96,0.0,,
464,ACH,2020-05-31,601000,19-GP-ROSN,OLIVIERI,692.68,0.0,,
467,ACH,2020-05-31,601000,19-GP-ROSN,SGP,1988.89,0.0,,
468,ACH,2020-05-31,621500,19-GP-ROSN,OMEGA INTERIM,3255.0,0.0,,
469,ACH,2020-05-31,613511,19-GP-ROSN,STI,1580.0,0.0,,
470,ACH,2020-05-31,613511,19-GP-ROSN,STI,900.0,0.0,,
473,ACH,2020-05-31,601030,19-GP-ROSN,SYNEOS / IDF,1967.25,0.0,,
474,ACH,2020-05-31,613110,19-GP-ROSN,KILOUTOU MODULE,2420.8,0.0,,
477,ACH,2020-05-31,604923,19-GP-ROSN,BTM,14810.0,0.0,,
480,ACH,2020-05-31,601040,19-GP-ROSN,PROLIANS,45.8,0.0,,
481,ACH,2020-05-31,601040,19-GP-ROSN,PROLIANS,520.62,0.0,,
482,ACH,2020-05-31,601040,19-GP-ROSN,PROLIANS,68.6,0.0,,
483,ACH,2020-05-31,601040,19-GP-ROSN,PROLIANS,166.01,0.0,,
496,VEN,2020-05-31,706020,19-GP-ROSN,RETENUE DE GARANTIE 5%,0.0,197252.39,,
500,ACH,2020-05-30,613105,19-GP-ROSN,COLTRIVAL,3180.0,0.0,,
502,ACH,2020-05-30,611425,19-GP-ROSN,WSDTP,9400.0,0.0,,
508,ACH,2020-05-30,611423,19-GP-ROSN,CLJT CONSEILS,3000.0,0.0,,
509,ACH,2020-05-30,601960,19-GP-ROSN,IPN,4094.41,0.0,,
510,ACH,2020-05-30,601960,19-GP-ROSN,IPN,816.32,0.0,,
522,ACH,2020-05-29,621100,19-GP-ROSN,DEFI TECHNOLOGY,12372.3,0.0,,
523,ACH,2020-05-28,601020,19-GP-ROSN,NORMAFER,5003.15,0.0,,
528,ACH,2020-05-27,601020,19-GP-ROSN,AMS,2088.0,0.0,,
534,ACH,2020-05-25,601020,19-GP-ROSN,NORMAFER,7601.64,0.0,,
538,ACH,2020-05-22,601000,19-GP-ROSN,ID ACIER,735.0,0.0,,
539,ACH,2020-05-22,611435,19-GP-ROSN,SUEZ,562.9,0.0,,
542,ACH,2020-05-20,611424,19-GP-ROSN,GEOA,450.0,0.0,,
543,ACH,2020-05-20,601000,19-GP-ROSN,AMS,645.26,0.0,,
544,ACH,2020-05-20,601000,19-GP-ROSN,AMS,680.0,0.0,,
