,Crédit,Libellé,Journal,Date,Débit,Général,Section analytique
88,0,,ACH,2019-08-01,0.0,C,19-ROCH-LP
89,0,,ACH,2019-08-01,911.15,CC,19-ROCH-LP
90,0,,ACH,2019-11-01,5302.84,C,19-ROCH-LP
91,0,,ACH,2019-07-01,7214.59,C,19-ROCH-LP
92,0,,ACH,2019-11-01,8096.04,CC,19-ROCH-LP
93,0,,ACH,2019-07-01,4436.78,C,19-ROCH-LP
94,0,,ACH,2019-09-01,5345.49,C,19-ROCH-LP
95,0,,ACH,2019-09-01,4413.0,C,19-ROCH-LP
96,0,,ACH,2019-08-01,0.0,CDTX,19-ROCH-LP
97,0,,ACH,2019-12-01,6316.03,CDTX,19-ROCH-LP
98,0,,ACH,2019-11-01,6029.62,CDTX,19-ROCH-LP
99,0,,ACH,2019-10-01,8155.49,CC,19-ROCH-LP
100,0,,ACH,2019-09-01,0.0,CDTX,19-ROCH-LP
101,0,,ACH,2019-10-01,4895.57,C,19-ROCH-LP
102,0,,ACH,2019-10-01,5350.63,C,19-ROCH-LP
103,0,,ACH,2019-10-01,4422.02,C,19-ROCH-LP
104,0,,ACH,2019-12-01,9819.78,CC,19-ROCH-LP
105,0,,ACH,2019-12-01,5196.88,C,19-ROCH-LP
106,0,,ACH,2019-11-01,4569.29,C,19-ROCH-LP
107,0,,ACH,2019-08-01,637.78,C,19-ROCH-LP
108,0,,ACH,2019-11-01,5340.41,C,19-ROCH-LP
109,0,,ACH,2019-09-01,4887.18,C,19-ROCH-LP
110,0,,ACH,2019-09-01,8180.37,CC,19-ROCH-LP
111,0,,ACH,2019-10-01,3163.54,CDTX,19-ROCH-LP
112,0,,ACH,2019-08-01,766.32,C,19-ROCH-LP
113,0,,ACH,2019-12-01,6831.59,C,19-ROCH-LP
114,0,,ACH,2019-01-01,0.0,CDTX,19-ROCH-LP
115,0,,ACH,2019-04-01,4633.11,4633.11,19-ROCH-LP
116,0,,ACH,2019-07-01,0.0,C,19-ROCH-LP
117,0,,ACH,2019-07-01,10041.8,CC,19-ROCH-LP
118,0,,ACH,2019-07-01,0.0,CDTX,19-ROCH-LP
119,0,,ACH,2019-02-01,0.0,C,19-ROCH-LP
120,0,,ACH,2019-02-01,0.0,C,19-ROCH-LP
121,0,,ACH,2019-02-01,0.0,C,19-ROCH-LP
122,0,,ACH,2019-02-01,0.0,CC,19-ROCH-LP
123,0,,ACH,2019-02-01,0.0,CDTX,19-ROCH-LP
124,0,,ACH,2019-12-01,4240.9,C,19-ROCH-LP
125,0,,ACH,2019-01-01,0.0,C,19-ROCH-LP
126,0,,ACH,2019-01-01,0.0,CC,19-ROCH-LP
127,0,,ACH,2019-01-01,0.0,C,19-ROCH-LP
128,0,,ACH,2019-01-01,0.0,C,19-ROCH-LP
