,Journal,Date,Général,Section analytique,Libellé,Débit,Crédit,POSTE,SOUS POSTE
984,ACH,2020-02-29,601030,19-ROCH-LP,SYNEOS / IDF,3320.0,0.0,,
987,ACH,2020-02-29,613511,19-ROCH-LP,STI,200.0,0.0,,
993,ACH,2020-02-29,613511,19-ROCH-LP,STI,360.0,0.0,,
1002,ACH,2020-02-29,613111,19-ROCH-LP,ALTRAD,32.96,0.0,,
1003,ACH,2020-02-29,613113,19-ROCH-LP,ALTRAD,1016.48,0.0,,
1004,ACH,2020-02-29,613114,19-ROCH-LP,ALTRAD,73.64,0.0,,
1005,ACH,2020-02-29,608301,19-ROCH-LP,ALTRAD,900.0,0.0,,
1008,ACH,2020-02-29,601000,19-ROCH-LP,OLIVIERI,299.45,0.0,,
1009,ACH,2020-02-29,601000,19-ROCH-LP,OLIVIERI,2379.93,0.0,,
1015,ACH,2020-02-29,601040,19-ROCH-LP,QUINCAILLERIE DUBOS,8.92,0.0,,
1016,ACH,2020-02-29,601000,19-ROCH-LP,TECHNIQUE BETON,168.39,0.0,,
1041,VEN,2020-02-28,706020,19-ROCH-LP,SCCV ROCHEREAU LE PERREUX SUR MARNE,0.0,21855.81,,
1066,ACH,2020-02-21,608900,19-ROCH-LP,MATEBAT,0.0,1150.0,,
1067,ACH,2020-02-21,608900,19-ROCH-LP,MATEBAT,7000.0,0.0,,
1073,ACH,2020-02-21,613110,19-ROCH-LP,ALGECO,130.62,0.0,,
1081,ACH,2020-02-17,606102,19-ROCH-LP,EDF,275.57,0.0,,
1089,ACH,2020-02-15,601040,19-ROCH-LP,PROLIANS,588.74,0.0,,
1091,ACH,2020-02-15,613105,19-ROCH-LP,COLTRIVAL,290.0,0.0,,
1110,ACH,2020-02-08,601020,19-ROCH-LP,NORMAFER,471.53,0.0,,
1132,ACH,2020-02-03,613101,19-ROCH-LP,KILOTOU,500.0,0.0,,
1145,ACH,2020-02-01,621100,19-ROCH-LP,DEFI TECHNOLOGY,12275.54,0.0,,
1154,ACH,2020-01-31,613511,19-ROCH-LP,STI,200.0,0.0,,
1157,ACH,2020-01-31,613511,19-ROCH-LP,STI,360.0,0.0,,
1160,ACH,2020-01-31,613105,19-ROCH-LP,COLTRIVAL,870.0,0.0,,
1161,ACH,2020-01-31,621100,19-ROCH-LP,DEFI TECHNOLOGY,21047.49,0.0,,
1163,ACH,2020-01-31,621500,19-ROCH-LP,OMEGA INTERIM,2800.0,0.0,,
1167,ACH,2020-01-31,613104,19-ROCH-LP,MATEBAT,3450.0,0.0,,
1177,ACH,2020-01-31,608301,19-ROCH-LP,MATELOC,704.0,0.0,,
1178,ACH,2020-01-31,613109,19-ROCH-LP,MATELOC,1169.59,0.0,,
1180,ACH,2020-01-31,613101,19-ROCH-LP,BTMAT,180.0,0.0,,
1185,ACH,2020-01-31,601030,19-ROCH-LP,SYNEOS / IDF,9917.12,0.0,,
